ad_id,platform,brand,ad_format,creative_theme,cta_type,audience_segment,language,budget_daily_inr,bid_strategy,ad_copy_length_words,has_price_mention,has_offer_mention,has_expert_mention,has_urgency_words,has_emoji_in_copy,video_duration_seconds,days_active,month_launched,is_own_brand,impressions,clicks,installs,spent_inr,ctr,cpi_inr,d0_removal_rate,d1_retention_rate,d7_retention_rate,purchase_within_7d_rate,onboarding_completion_rate,avg_session_duration_seconds,install_quality_score
AD_1001,Facebook,FirstCry,Carousel,Discount,Shop Now,Parents_0_3,English,15000,Target_CPA,12,1,1,0,1,1,0,10,1,0,400000,28000,2800,45000.0,0.07,16.1,0.55,0.15,0.04,0.08,0.5,90,35
AD_1002,Instagram,MamEarth_Baby,Video,UGC,Shop Now,Eco_Moms,English,10000,Max_Conversions,20,0,0,0,0,1,30,10,1,0,200000,6000,600,30000.0,0.03,50.0,0.3,0.3,0.15,0.1,0.7,150,65
AD_1003,YouTube,Pampers_India,Video,Emotional,Learn More,New_Parents,English,12000,Target_CPM,15,0,0,0,0,1,60,10,1,0,500000,12500,1250,36000.0,0.025,28.8,0.25,0.35,0.2,0.05,0.75,180,70
AD_1004,Facebook,Huggies_India,Image,Lifestyle,Learn More,New_Parents,English,11000,Max_Clicks,18,0,0,0,0,1,0,10,1,0,450000,10800,1080,33000.0,0.024,30.6,0.24,0.34,0.18,0.06,0.72,160,68
AD_1005,Google_Search,PharmEasy_Baby,Text,Doctor_Expert,Book Now,Health_Moms,English,5000,Target_ROAS,30,1,0,1,1,0,0,10,1,0,80000,1200,120,15000.0,0.015,125.0,0.1,0.55,0.35,0.15,0.85,300,90
AD_1006,Facebook,Healofy,Image,Community,Install App,Vernacular,Hindi,4000,Target_CPA,22,0,0,0,0,1,0,10,1,0,50000,2000,200,12000.0,0.04,60.0,0.15,0.45,0.25,0.08,0.8,210,80
AD_1007,Instagram,BabyChakra,Carousel,Testimonial,Install App,Expecting,English,6000,Target_CPA,35,0,0,0,0,1,0,10,1,0,100000,3500,350,18000.0,0.035,51.4,0.2,0.4,0.22,0.09,0.78,190,75
AD_1008,Google_Search,Pregakem,Text,Educational,Learn More,TTC_Women,English,3000,Max_Conversions,28,0,0,1,0,0,0,10,1,0,30000,600,60,9000.0,0.02,150.0,0.08,0.6,0.4,0.2,0.9,350,95
AD_1009,Instagram,HealthKart_Women,Video,Ingredient_Science,Shop Now,Wellness,English,8000,Target_ROAS,25,1,0,1,0,0,45,10,1,0,120000,3000,300,24000.0,0.025,80.0,0.18,0.42,0.28,0.12,0.82,240,85
AD_1010,YouTube,Himalaya_BabyCare,Video,Heritage_Trust,Shop Now,Parents_0_3,English,9000,Target_CPA,16,0,0,1,0,0,30,10,1,0,250000,5000,500,27000.0,0.02,54.0,0.12,0.5,0.32,0.1,0.84,260,88
